"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 10일","2,125.43","2,062.70","2,169.46","2,062.70","15.90K","3.04%"
"2021년 04월 09일","2,062.70","2,078.47","2,092.29","2,062.70","9.95K","-0.76%"
"2021년 04월 08일","2,078.45","1,961.75","2,078.45","1,961.75","18.42K","5.99%"
"2021년 04월 07일","1,961.01","2,113.48","2,113.48","1,961.01","36.36K","-7.20%"
"2021년 04월 06일","2,113.19","2,104.78","2,113.19","2,072.31","20.02K","0.37%"
"2021년 04월 05일","2,105.36","2,074.79","2,111.85","2,015.68","21.79K","1.47%"
"2021년 04월 04일","2,074.79","2,007.82","2,074.79","2,007.82","20.17K","3.33%"
"2021년 04월 03일","2,007.98","2,133.62","2,133.62","2,007.98","29.54K","-5.90%"
"2021년 04월 02일","2,133.99","1,967.42","2,133.99","1,967.42","23.86K","8.47%"
"2021년 04월 01일","1,967.33","1,920.69","1,967.33","1,909.88","23.96K","2.56%"
"2021년 03월 31일","1,918.24","1,841.40","1,918.24","1,815.51","28.97K","4.18%"
"2021년 03월 30일","1,841.29","1,816.66","1,841.29","1,795.44","13.17K","1.38%"
"2021년 03월 29일","1,816.19","1,687.90","1,816.19","1,687.90","17.01K","7.64%"
"2021년 03월 28일","1,687.27","1,711.85","1,712.81","1,687.27","12.72K","-1.44%"
"2021년 03월 27일","1,711.84","1,698.95","1,711.84","1,681.15","15.59K","0.76%"
"2021년 03월 26일","1,698.95","1,587.86","1,698.95","1,587.86","16.47K","7.00%"
"2021년 03월 25일","1,587.86","1,586.13","1,619.02","1,579.73","27.95K","0.12%"
"2021년 03월 24일","1,585.97","1,668.78","1,695.74","1,558.99","27.34K","-4.96%"
"2021년 03월 23일","1,668.77","1,682.86","1,700.43","1,665.81","21.87K","-0.85%"
"2021년 03월 22일","1,683.07","1,783.10","1,784.54","1,683.07","21.78K","-5.62%"
"2021년 03월 21일","1,783.34","1,805.54","1,805.54","1,767.43","16.05K","-1.21%"
"2021년 03월 20일","1,805.25","1,807.99","1,829.85","1,805.25","13.76K","-0.15%"
"2021년 03월 19일","1,807.90","1,777.75","1,808.76","1,777.75","15.52K","1.70%"
"2021년 03월 18일","1,777.75","1,823.19","1,828.74","1,777.75","18.46K","-2.47%"
"2021년 03월 17일","1,822.78","1,806.61","1,822.78","1,764.40","26.02K","0.95%"
"2021년 03월 16일","1,805.66","1,793.78","1,805.66","1,725.16","33.53K","0.70%"
"2021년 03월 15일","1,793.09","1,849.13","1,849.13","1,778.77","38.65K","-3.03%"
"2021년 03월 14일","1,849.13","1,922.48","1,922.48","1,849.13","25.13K","-3.80%"
"2021년 03월 13일","1,922.10","1,765.93","1,922.10","1,765.93","24.92K","8.84%"
"2021년 03월 12일","1,765.93","1,823.82","1,823.82","1,755.10","33.17K","-3.16%"
"2021년 03월 11일","1,823.61","1,794.88","1,823.61","1,788.97","41.29K","1.62%"
